video_id,effective_score,exciting_score,funny_score,language_score,sentiments,topics,topics_list_index,Topic,Description_x,Abbreviation_x,sentiments_list_index,Sentiment,Description_y,Abbreviation_y
KONL05sae4E,2,1.0,0.0,1,21,27,27,Sports,Sports equipment and activities,sports,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
VZ9lXgcYL50,5,0.6000000000000001,0.2,1,1,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
Pzl86IjTpHI,5,0.6000000000000001,1.0,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
XutXCTwwmYc,2,1.0,0.0,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
h6CcxJQq1x8,5,0.6000000000000001,1.0,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
w22oOw3RIAk,2,0.2,0.0,1,5,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
D-Q5mUes_8k,2,1.0,0.0,1,9,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
mcP_f1UEQVo,5,0.4,0.2,1,3,33,33,Safety,"Safety, safe driving, fire safety",safety,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
-nYhixp7bXI,5,0.6000000000000001,1.0,1,6,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,6,Amused,"humored, laughing",amused
xtJqw--DGl8,5,0.8,0.2,1,3,33,33,Safety,"Safety, safe driving, fire safety",safety,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
EIUSkKTUftU,1,0.0,0.6000000000000001,1,9,6,6,Alcohol,Alcohol,alcohol,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
QEDRDrV55q8,1,0.4,0.6000000000000001,0,1,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
5AP5zQrJRIg,3,0.4,0.0,1,8,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
DlB4hFTAxOo,3,0.4,0.4,0,9,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
PsH4uuRT2w8,4,0.6000000000000001,0.4,1,30,21,21,Games,Games and toys (including video and mobile games),game,30,Youthful,childlike,youthful
sPneQzqhh4g,5,0.8,0.4,1,5,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
TL4LEfRr1TI,3,0.6000000000000001,0.6000000000000001,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
QNh18bRw_0k,5,0.8,0.6000000000000001,1,5,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
MX145Tu4MHY,5,0.6000000000000001,0.8,1,6,6,6,Alcohol,Alcohol,alcohol,6,Amused,"humored, laughing",amused
